id,created_by,created_date,updated_by,updated_date,is_deleted,payment_sr_num,amount_payable,amount_paid,balance,cheque_no,cheque_date,cash_amount,is_cheque_bounce,cheque_bounce_charge,bank_name,neft_transfer_id,is_neft_failed,receipt_no,receipt_date,payment_mode,offline_payment_by,payment_date,bk_no,is_other,payment_remark,payment_status,membership_id,membership_invoice_id,basic_amount,is_tds,membership_slab_id,subcat_value,tds_amount,tally_processed,advance_tax_inoviced_raised,final_payment_status
34066,satishj,2026-07-07,,,0,1,41300.0,41300.0,0,,,0.0,0,0,Bank of Baroda,NEFT593559955,0,RCP471496,2026-07-08,13,,2026-07-08,MBK3000066,0,Paid via NEFT for MBK3000066,22,52146,55296,35000,0,567,35000,0,1,0,1
34044,kirtik,2026-07-26,,,0,1,41300.0,41300.0,0,,,0.0,0,0,ICICI Bank,NEFT839393192,0,RCP560959,2026-07-27,13,,2026-07-27,MBK3000044,0,Paid via NEFT for MBK3000044,22,43619,45867,35000,0,618,35000,0,1,0,1
40026,kirtik,2026-07-22,,,0,1,53100.0,53100.0,0,,,0.0,0,0,HDFC BANK,NEFT271494637,0,RCP525110,2026-07-22,13,,2026-07-22,MBK4123967,0,Unmatched payment for MBK4123967,22,52481,46466,45000,0,579,45000,0,1,0,1
34046,satishj,2026-07-16,,,0,1,29500.0,29500.0,0,,,0.0,0,0,SBI,NEFT231556899,0,RCP359961,2026-07-17,13,,2026-07-17,MBK3000046,0,Paid via NEFT for MBK3000046,22,34616,33172,25000,0,512,25000,0,1,0,1
39833,kirtik,2026-07-23,,,0,1,88500.0,88500.0,0,,,0.0,0,0,HDFC BANK,NEFT494647257,0,RCP744481,2026-07-23,13,,2026-07-23,MBK4123119,0,Unmatched payment for MBK4123119,22,37236,37180,75000,0,534,75000,0,1,0,1
34057,satishj,2026-07-30,,,0,1,17700.0,17700.0,0,,,0.0,0,0,HDFC BANK,NEFT547256709,0,RCP725905,2026-07-31,13,,2026-07-31,MBK3000057,0,Paid via NEFT for MBK3000057,22,45551,38700,15000,0,648,15000,0,1,0,1
38365,kirtik,2026-07-15,,,0,1,88500.0,88500.0,0,,,0.0,0,0,HDFC BANK,NEFT869784803,0,RCP711474,2026-07-15,13,,2026-07-15,MBK4121886,0,Unmatched payment for MBK4121886,22,46017,32979,75000,0,630,75000,0,1,0,1
40417,kirtik,2026-07-09,,,0,1,11800.0,11800.0,0,,,0.0,0,0,HDFC BANK,NEFT274476883,0,RCP866634,2026-07-09,13,,2026-07-09,MBK4202177,0,Unmatched payment for MBK4202177,22,45037,51243,10000,0,565,10000,0,1,0,1
34075,satishj,2026-07-02,,,0,1,70800.0,70800.0,0,,,70800.0,0,0,,,0,RCP852204,2026-07-03,11,11.0,2026-07-03,MBK3000075,0,Paid via CASH for MBK3000075,22,33294,52321,60000,0,535,60000,0,1,0,1
34052,sonalp,2026-07-10,,,0,1,14160.0,14160.0,0,CHQ697983,2026-07-11,0.0,0,0,,,0,RCP480133,2026-07-11,10,13.0,2026-07-11,MBK3000052,0,Paid via CHEQUE for MBK3000052,22,39456,32409,12000,0,598,12000,0,1,0,1
34013,aishwarys,2026-07-29,,,0,1,35400.0,35400.0,0,,,35400.0,0,0,,,0,RCP138780,2026-07-30,11,11.0,2026-07-30,MBK3000013,0,Paid via CASH for MBK3000013,22,36605,31435,30000,0,551,30000,0,1,0,1
38027,kirtik,2026-07-13,,,0,1,11800.0,11800.0,0,,,0.0,0,0,HDFC BANK,NEFT250980852,0,RCP600646,2026-07-13,13,,2026-07-13,MBK4701765,0,Unmatched payment for MBK4701765,22,40603,38128,10000,0,501,10000,0,1,0,1
34007,aishwarys,2026-07-12,,,0,1,11800.0,11850.0,0,,,0.0,0,0,,,0,RCP296412,2026-07-13,20,,2026-07-13,MBK3000007,0,Paid via OTHER for MBK3000007,22,51770,51896,10000,0,521,10000,0,1,0,1
34064,sonalp,2026-07-01,,,0,1,53100.0,53150.0,0,,,53150.0,0,0,,,0,RCP533020,2026-07-02,11,13.0,2026-07-02,MBK3000064,0,Paid via CASH for MBK3000064,22,36681,43447,45000,0,628,45000,0,1,0,1
34045,satishj,2026-07-02,,,0,1,41300.0,41300.0,0,,,0.0,0,0,Axis Bank,NEFT435632899,0,RCP518084,2026-07-03,13,,2026-07-03,MBK3000045,0,Paid via NEFT for MBK3000045,22,34284,54925,35000,0,594,35000,0,1,0,1
40523,kirtik,2026-07-23,,,0,1,5900.0,5900.0,0,,,0.0,0,0,HDFC BANK,NEFT949080318,0,RCP409355,2026-07-23,13,,2026-07-23,MBK4195243,0,Unmatched payment for MBK4195243,22,48605,52098,5000,0,549,5000,0,1,0,1
34054,aishwarys,2026-07-25,,,0,1,29500.0,29500.0,0,,,29500.0,0,0,,,0,RCP624369,2026-07-26,11,10.0,2026-07-26,MBK3000054,0,Paid via CASH for MBK3000054,22,31484,31275,25000,0,535,25000,0,1,0,1
34074,sonalp,2026-07-06,,,0,1,70800.0,70800.0,0,,,0.0,0,0,ICICI Bank,NEFT761078179,0,RCP153231,2026-07-07,13,,2026-07-07,MBK3000074,0,Paid via NEFT for MBK3000074,22,51949,59661,60000,0,635,60000,0,1,0,1
34021,sonalp,2026-07-01,,,0,1,41300.0,41300.0,0,,,0.0,0,0,,,0,RCP132653,2026-07-02,20,,2026-07-02,MBK3000021,0,Paid via OTHER for MBK3000021,22,34678,57809,35000,0,612,35000,0,1,0,1
34051,aishwarys,2026-07-26,,,0,1,88500.0,88500.0,0,,,0.0,0,0,ICICI Bank,NEFT215424112,0,RCP377319,2026-07-27,13,,2026-07-27,MBK3000051,0,Paid via NEFT for MBK3000051,22,53838,41985,75000,0,603,75000,0,1,0,1
34076,aishwarys,2026-07-13,,,0,1,70800.0,70800.0,0,,,70800.0,0,0,,,0,RCP782139,2026-07-14,11,10.0,2026-07-14,MBK3000076,0,Paid via CASH for MBK3000076,22,54769,39412,60000,0,582,60000,0,1,0,1
43835,kirtik,2026-07-13,,,0,1,88500.0,88500.0,0,,,0.0,0,0,HDFC BANK,NEFT242796714,0,RCP785280,2026-07-13,13,,2026-07-13,MBK4084148,0,Unmatched payment for MBK4084148,22,58189,41395,75000,0,530,75000,0,1,0,1
34010,kirtik,2026-07-18,,,0,1,41300.0,41300.0,0,,,0.0,0,0,Axis Bank,NEFT483426624,0,RCP352838,2026-07-19,13,,2026-07-19,MBK3000010,0,Paid via NEFT for MBK3000010,22,54017,51531,35000,0,526,35000,0,1,0,1
34067,satishj,2026-07-08,,,0,1,35400.0,35400.0,0,,,35400.0,0,0,,,0,RCP335790,2026-07-09,11,11.0,2026-07-09,MBK3000067,0,Paid via CASH for MBK3000067,22,55269,39470,30000,0,553,30000,0,1,0,1
34072,aishwarys,2026-07-21,,,0,1,41300.0,41300.0,0,,,0.0,0,0,,,0,RCP324381,2026-07-22,20,,2026-07-22,MBK3000072,0,Paid via OTHER for MBK3000072,22,36621,57130,35000,0,637,35000,0,1,0,1
34026,kirtik,2026-07-11,,,0,1,88500.0,88500.0,0,,,0.0,0,0,ICICI Bank,NEFT221814525,0,RCP623285,2026-07-12,13,,2026-07-12,MBK3000026,0,Paid via NEFT for MBK3000026,22,46965,42680,75000,0,643,75000,0,1,0,1
39285,kirtik,2026-07-24,,,0,1,5900.0,5900.0,0,,,0.0,0,0,HDFC BANK,NEFT801887172,0,RCP477017,2026-07-24,13,,2026-07-24,MBK4600705,0,Unmatched payment for MBK4600705,22,52700,37743,5000,0,515,5000,0,1,0,1
34034,aishwarys,2026-07-26,,,0,1,17700.0,17700.0,0,,,0.0,0,0,,,0,RCP651231,2026-07-27,20,,2026-07-27,MBK3000034,0,Paid via OTHER for MBK3000034,22,43460,55203,15000,0,604,15000,0,1,0,1
34056,aishwarys,2026-07-10,,,0,1,14160.0,14160.0,0,,,0.0,0,0,Bank of Baroda,NEFT644725317,0,RCP414353,2026-07-11,13,,2026-07-11,MBK3000056,0,Paid via NEFT for MBK3000056,22,45561,56730,12000,0,504,12000,0,1,0,1
34018,aishwarys,2026-07-30,,,0,1,88500.0,88500.0,0,,,0.0,0,0,HDFC BANK,NEFT880697625,0,RCP551524,2026-07-31,13,,2026-07-31,MBK3000018,0,Paid via NEFT for MBK3000018,22,49741,56946,75000,0,546,75000,0,1,0,1
36196,kirtik,2026-07-24,,,0,1,70800.0,70800.0,0,,,0.0,0,0,HDFC BANK,NEFT148629555,0,RCP544278,2026-07-24,13,,2026-07-24,MBK4228486,0,Unmatched payment for MBK4228486,22,41289,52950,60000,0,516,60000,0,1,0,1
34005,satishj,2026-07-14,,,0,1,70800.0,70800.0,0,CHQ349183,2026-07-15,0.0,0,0,,,0,RCP227767,2026-07-15,10,10.0,2026-07-15,MBK3000005,0,Paid via CHEQUE for MBK3000005,22,37813,43756,60000,0,617,60000,0,1,0,1
34023,satishj,2026-07-14,,,0,1,29500.0,29500.0,0,,,29500.0,0,0,,,0,RCP479742,2026-07-15,11,11.0,2026-07-15,MBK3000023,0,Paid via CASH for MBK3000023,22,48587,31061,25000,0,539,25000,0,1,0,1
34050,satishj,2026-07-29,,,0,1,53100.0,53100.0,0,,,0.0,0,0,,,0,RCP151021,2026-07-30,20,,2026-07-30,MBK3000050,0,Paid via OTHER for MBK3000050,22,31656,39219,45000,0,626,45000,0,1,0,1
34012,sonalp,2026-08-02,,,0,1,11800.0,11850.0,0,,,11850.0,0,0,,,0,RCP970720,2026-08-03,11,13.0,2026-08-03,MBK3000012,0,Paid via CASH for MBK3000012,22,45224,52786,10000,0,622,10000,0,1,0,1
42319,kirtik,2026-07-09,,,0,1,17700.0,17700.0,0,,,0.0,0,0,HDFC BANK,NEFT909340042,0,RCP379963,2026-07-09,13,,2026-07-09,MBK4402206,0,Unmatched payment for MBK4402206,22,40801,39894,15000,0,649,15000,0,1,0,1
34008,kirtik,2026-07-18,,,0,1,70800.0,70800.0,0,CHQ670511,2026-07-19,0.0,0,0,,,0,RCP509420,2026-07-19,10,11.0,2026-07-19,MBK3000008,0,Paid via CHEQUE for MBK3000008,22,31426,50829,60000,0,599,60000,0,1,0,1
34047,sonalp,2026-07-19,,,0,1,53100.0,53100.0,0,,,0.0,0,0,,,0,RCP267457,2026-07-20,20,,2026-07-20,MBK3000047,0,Paid via OTHER for MBK3000047,22,56656,40729,45000,0,647,45000,0,1,0,1
44383,kirtik,2026-07-29,,,0,1,17700.0,17700.0,0,,,0.0,0,0,HDFC BANK,NEFT676234459,0,RCP257131,2026-07-29,13,,2026-07-29,MBK4530041,0,Unmatched payment for MBK4530041,22,35391,40751,15000,0,633,15000,0,1,0,1
34078,kirtik,2026-07-18,,,0,1,11800.0,11800.0,0,,,0.0,0,0,,,0,RCP976822,2026-07-19,20,,2026-07-19,MBK3000078,0,Paid via OTHER for MBK3000078,22,43008,55819,10000,0,626,10000,0,1,0,1
34062,aishwarys,2026-07-18,,,0,1,14160.0,14160.0,0,CHQ278794,2026-07-19,0.0,0,0,,,0,RCP254954,2026-07-19,10,13.0,2026-07-19,MBK3000062,0,Paid via CHEQUE for MBK3000062,22,37936,31034,12000,0,646,12000,0,1,0,1
41887,kirtik,2026-07-25,,,0,1,88500.0,88500.0,0,,,0.0,0,0,HDFC BANK,NEFT502074351,0,RCP501058,2026-07-25,13,,2026-07-25,MBK4672687,0,Unmatched payment for MBK4672687,22,44697,58495,75000,0,596,75000,0,1,0,1
34020,satishj,2026-07-19,,,0,1,11800.0,11800.0,0,,,0.0,0,0,,,0,RCP744718,2026-07-20,20,,2026-07-20,MBK3000020,0,Paid via OTHER for MBK3000020,22,44252,38996,10000,0,514,10000,0,1,0,1
34036,aishwarys,2026-07-11,,,0,1,59000.0,59000.0,0,,,59000.0,0,0,,,0,RCP627290,2026-07-12,11,10.0,2026-07-12,MBK3000036,0,Paid via CASH for MBK3000036,22,57243,34068,50000,0,632,50000,0,1,0,1
34053,kirtik,2026-07-26,,,0,1,29500.0,29500.0,0,,,0.0,0,0,ICICI Bank,NEFT769200551,0,RCP201377,2026-07-27,13,,2026-07-27,MBK3000053,0,Paid via NEFT for MBK3000053,22,42907,42228,25000,0,586,25000,0,1,0,1
34035,kirtik,2026-07-01,,,0,1,17700.0,17700.0,0,,,17700.0,0,0,,,0,RCP571832,2026-07-02,11,11.0,2026-07-02,MBK3000035,0,Paid via CASH for MBK3000035,22,52285,46952,15000,0,588,15000,0,1,0,1
34065,sonalp,2026-07-18,,,0,1,17700.0,17700.0,0,CHQ643878,2026-07-19,0.0,0,0,,,0,RCP688132,2026-07-19,10,11.0,2026-07-19,MBK3000065,0,Paid via CHEQUE for MBK3000065,22,51699,45675,15000,0,634,15000,0,1,0,1
34033,sonalp,2026-07-16,,,0,1,14160.0,14160.0,0,,,0.0,0,0,,,0,RCP741674,2026-07-17,20,,2026-07-17,MBK3000033,0,Paid via OTHER for MBK3000033,22,58974,32825,12000,0,516,12000,0,1,0,1
34055,sonalp,2026-07-11,,,0,1,70800.0,70800.0,0,,,0.0,0,0,,,0,RCP443897,2026-07-12,20,,2026-07-12,MBK3000055,0,Paid via OTHER for MBK3000055,22,50089,40437,60000,0,541,60000,0,1,0,1
42734,kirtik,2026-07-18,,,0,1,11800.0,11800.0,0,,,0.0,0,0,HDFC BANK,NEFT134075063,0,RCP401036,2026-07-18,13,,2026-07-18,MBK4063182,0,Unmatched payment for MBK4063182,22,43397,35897,10000,0,534,10000,0,1,0,1
34077,sonalp,2026-07-31,,,0,1,35400.0,35400.0,0,CHQ193806,2026-08-01,0.0,0,0,,,0,RCP661147,2026-08-01,10,13.0,2026-08-01,MBK3000077,0,Paid via CHEQUE for MBK3000077,22,53695,57863,30000,0,509,30000,0,1,0,1
34015,satishj,2026-07-22,,,0,1,88500.0,88500.0,0,,,0.0,0,0,Axis Bank,NEFT151329185,0,RCP230521,2026-07-23,13,,2026-07-23,MBK3000015,0,Paid via NEFT for MBK3000015,22,56192,42059,75000,0,611,75000,0,1,0,1
34043,satishj,2026-06-29,,,0,1,70800.0,70800.0,0,,,0.0,0,0,,,0,RCP773088,2026-06-30,20,,2026-06-30,MBK3000043,0,Paid via OTHER for MBK3000043,22,39899,45825,60000,0,562,60000,0,1,0,1
40049,kirtik,2026-07-02,,,0,1,53100.0,53100.0,0,,,0.0,0,0,HDFC BANK,NEFT876616079,0,RCP122827,2026-07-02,13,,2026-07-02,MBK4585941,0,Unmatched payment for MBK4585941,22,42974,38338,45000,0,500,45000,0,1,0,1
34079,satishj,2026-07-21,,,0,1,88500.0,88500.0,0,,,0.0,0,0,Bank of Baroda,NEFT109950544,0,RCP732063,2026-07-22,13,,2026-07-22,MBK3000079,0,Paid via NEFT for MBK3000079,22,33516,40978,75000,0,572,75000,0,1,0,1
41643,kirtik,2026-07-06,,,0,1,88500.0,88500.0,0,,,0.0,0,0,HDFC BANK,NEFT987973565,0,RCP548479,2026-07-06,13,,2026-07-06,MBK4640632,0,Unmatched payment for MBK4640632,22,46884,40745,75000,0,522,75000,0,1,0,1
44924,kirtik,2026-07-16,,,0,1,53100.0,53100.0,0,,,0.0,0,0,HDFC BANK,NEFT501176618,0,RCP536045,2026-07-16,13,,2026-07-16,MBK4160626,0,Unmatched payment for MBK4160626,22,53001,47997,45000,0,620,45000,0,1,0,1
34048,aishwarys,2026-07-20,,,0,1,53100.0,53100.0,0,,,53100.0,0,0,,,0,RCP622987,2026-07-21,11,11.0,2026-07-21,MBK3000048,0,Paid via CASH for MBK3000048,22,46297,30759,45000,0,523,45000,0,1,0,1
34038,satishj,2026-07-20,,,0,1,5900.0,5900.0,0,,,5900.0,0,0,,,0,RCP231250,2026-07-21,11,13.0,2026-07-21,MBK3000038,0,Paid via CASH for MBK3000038,22,39922,50133,5000,0,636,5000,0,1,0,1
34003,satishj,2026-07-03,,,0,1,88500.0,88500.0,0,,,0.0,0,0,ICICI Bank,NEFT867407868,0,RCP244283,2026-07-04,13,,2026-07-04,MBK3000003,0,Paid via NEFT for MBK3000003,22,31255,39400,75000,0,620,75000,0,1,0,1
34070,sonalp,2026-07-07,,,0,1,59000.0,59000.0,0,,,0.0,0,0,,,0,RCP404561,2026-07-08,20,,2026-07-08,MBK3000070,0,Paid via OTHER for MBK3000070,22,31378,39425,50000,0,520,50000,0,1,0,1
34029,aishwarys,2026-07-14,,,0,1,88500.0,88500.0,0,CHQ177649,2026-07-15,0.0,0,0,,,0,RCP281043,2026-07-15,10,13.0,2026-07-15,MBK3000029,0,Paid via CHEQUE for MBK3000029,22,44585,32876,75000,0,581,75000,0,1,0,1
34004,kirtik,2026-06-30,,,0,1,53100.0,53100.0,0,,,0.0,0,0,,,0,RCP119927,2026-07-01,20,,2026-07-01,MBK3000004,0,Paid via OTHER for MBK3000004,22,38386,37066,45000,0,538,45000,0,1,0,1
34032,sonalp,2026-07-22,,,0,1,88500.0,88500.0,0,,,88500.0,0,0,,,0,RCP348235,2026-07-23,11,11.0,2026-07-23,MBK3000032,0,Paid via CASH for MBK3000032,22,30861,41825,75000,0,641,75000,0,1,0,1
42429,kirtik,2026-07-15,,,0,1,5900.0,5900.0,0,,,0.0,0,0,HDFC BANK,NEFT241674152,0,RCP638179,2026-07-15,13,,2026-07-15,MBK4847975,0,Unmatched payment for MBK4847975,22,43612,44968,5000,0,644,5000,0,1,0,1
34028,aishwarys,2026-07-24,,,0,1,59000.0,59000.0,0,,,0.0,0,0,ICICI Bank,NEFT855954847,0,RCP741599,2026-07-25,13,,2026-07-25,MBK3000028,0,Paid via NEFT for MBK3000028,22,39357,52740,50000,0,625,50000,0,1,0,1
43590,kirtik,2026-07-15,,,0,1,59000.0,59000.0,0,,,0.0,0,0,HDFC BANK,NEFT630334421,0,RCP240718,2026-07-15,13,,2026-07-15,MBK4672464,0,Unmatched payment for MBK4672464,22,57887,46522,50000,0,619,50000,0,1,0,1
40927,kirtik,2026-07-17,,,0,1,59000.0,59000.0,0,,,0.0,0,0,HDFC BANK,NEFT183862154,0,RCP691573,2026-07-17,13,,2026-07-17,MBK4468449,0,Unmatched payment for MBK4468449,22,33676,32023,50000,0,640,50000,0,1,0,1
34019,satishj,2026-07-08,,,0,1,88500.0,88500.0,0,,,0.0,0,0,Axis Bank,NEFT452101316,0,RCP567576,2026-07-09,13,,2026-07-09,MBK3000019,0,Paid via NEFT for MBK3000019,22,49746,53516,75000,0,609,75000,0,1,0,1
34069,satishj,2026-07-10,,,0,1,35400.0,35400.0,0,,,0.0,0,0,Axis Bank,NEFT701818966,0,RCP227794,2026-07-11,13,,2026-07-11,MBK3000069,0,Paid via NEFT for MBK3000069,22,48791,52171,30000,0,639,30000,0,1,0,1
